in s,Math in V
-4.908500E-04,3.31936E-02
-4.908000E-04,2.92911E-02
-4.907500E-04,-1.56333E-02
-4.907000E-04,-1.36821E-02
-4.906500E-04,3.31936E-02
-4.906000E-04,3.56327E-02
-4.905500E-04,4.38222E-03
-4.905000E-04,-2.29505E-02
-4.904500E-04,2.00074E-02
-4.904000E-04,5.12579E-02
-4.903500E-04,1.26903E-02
-4.903000E-04,-2.88195E-02
-4.902500E-04,-1.56333E-02
-4.902000E-04,3.56327E-02
-4.901500E-04,4.97945E-02
-4.901000E-04,-1.02674E-02
-4.900500E-04,-3.61367E-02
-4.900000E-04,1.22025E-02
-4.899500E-04,5.17457E-02
-4.899000E-04,3.02667E-02
-4.898500E-04,-3.02829E-02
-4.898000E-04,-2.39261E-02
-4.897500E-04,3.85595E-02
-4.897000E-04,4.58920E-02
-4.896500E-04,4.38222E-03
-4.896000E-04,-2.78438E-02
-4.895500E-04,8.29996E-03
-4.895000E-04,4.93066E-02
-4.894500E-04,2.00074E-02
-4.894000E-04,-1.75846E-02
-4.893500E-04,-1.27064E-02
-4.893000E-04,3.07546E-02
-4.892500E-04,4.29651E-02
-4.892000E-04,-9.29175E-03
-4.891500E-04,-1.12430E-02
-4.891000E-04,2.04953E-02
-4.890500E-04,3.22180E-02
-4.890000E-04,1.80562E-02
-4.889500E-04,-2.00236E-02
-4.889000E-04,6.82128E-03
-4.888500E-04,3.95504E-02
-4.888000E-04,1.26903E-02
-4.887500E-04,-9.29175E-03
-4.887000E-04,-1.17308E-02
-4.886500E-04,3.80717E-02
-4.886000E-04,4.05260E-02
-4.885500E-04,-1.56333E-02
-4.885000E-04,-1.75846E-02
-4.884500E-04,1.70806E-02
-4.884000E-04,5.32091E-02
-4.883500E-04,2.29343E-02
-4.883000E-04,-3.66245E-02
-4.882500E-04,-9.83708E-04
-4.882000E-04,4.15017E-02
-4.881500E-04,4.39407E-02
-4.881000E-04,-6.83745E-03
-4.880500E-04,-3.66245E-02
-4.880000E-04,2.09831E-02
-4.879500E-04,5.46726E-02
-4.879000E-04,1.90318E-02
-4.878500E-04,-2.39261E-02
-4.878000E-04,-1.95358E-02
-4.877500E-04,4.39407E-02
-4.877000E-04,4.44285E-02
-4.876500E-04,-1.17308E-02
-4.876000E-04,-2.14871E-02
-4.875500E-04,6.82128E-03
-4.875000E-04,4.88188E-02
-4.874500E-04,2.14709E-02
-4.874000E-04,-2.19749E-02
-4.873500E-04,-2.44714E-03
-4.873000E-04,2.63642E-02
-4.872500E-04,3.31936E-02
-4.872000E-04,-6.83745E-03
-4.871500E-04,-1.36821E-02
-4.871000E-04,2.58764E-02
-4.870500E-04,3.31936E-02
-4.870000E-04,2.43098E-03
-4.869500E-04,-1.02674E-02
-4.869000E-04,9.27559E-03
-4.868500E-04,4.10138E-02
-4.868000E-04,1.65928E-02
-4.867500E-04,-2.34383E-02
